Name,Date,Market_Cap
 HedgeTrade ,"Jan 03, 2019",0
 Cosmos ,"Mar 01, 2020","642,291,146"
 Cosmos ,"Feb 29, 2020","663,472,638"
 Cosmos ,"Feb 28, 2020","674,353,995"
 Cosmos ,"Feb 27, 2020","703,116,967"
 Cosmos ,"Feb 26, 2020","699,199,831"
 Cosmos ,"Feb 25, 2020","774,157,679"
 Cosmos ,"Feb 24, 2020","835,592,608"
 Cosmos ,"Feb 23, 2020","913,805,637"
 Cosmos ,"Feb 22, 2020","954,287,847"
 Cosmos ,"Feb 21, 2020","921,849,228"
 Cosmos ,"Feb 20, 2020","852,669,463"
 Cosmos ,"Feb 19, 2020","792,991,328"
 Cosmos ,"Feb 18, 2020","845,366,478"
 Cosmos ,"Feb 17, 2020","814,388,989"
 Cosmos ,"Feb 16, 2020","838,046,642"
 Cosmos ,"Feb 15, 2020","873,752,237"
 Cosmos ,"Feb 14, 2020","973,082,532"
 Bitcoin ,"Apr 16, 2020","130,445,413,270"
 Bitcoin ,"Apr 15, 2020","121,731,940,639"
 Bitcoin ,"Apr 14, 2020","125,388,687,977"
 Bitcoin ,"Apr 13, 2020","125,422,221,237"
 Bitcoin ,"Apr 12, 2020","127,716,846,208"
 Bitcoin ,"Apr 11, 2020","125,651,623,116"
 Bitcoin ,"Apr 10, 2020","125,755,496,117"
 Bitcoin ,"Apr 09, 2020","133,737,857,010"
 Bitcoin ,"Apr 08, 2020","134,309,895,036"
 Bitcoin ,"Apr 07, 2020","131,409,299,432"
 Bitcoin ,"Apr 06, 2020","133,140,400,948"
 Bitcoin ,"Apr 05, 2020","124,328,853,512"
 Bitcoin ,"Apr 04, 2020","125,712,834,530"
 Bitcoin ,"Apr 03, 2020","123,244,051,100"
 Cosmos ,"Feb 13, 2020","933,307,484"
 Cosmos ,"Feb 12, 2020","974,520,934"
 Cosmos ,"Feb 11, 2020","973,069,015"
 Cosmos ,"Feb 10, 2020","913,157,584"
 Cosmos ,"Feb 09, 2020","907,445,362"
 Cosmos ,"Feb 08, 2020","882,422,410"
 Cosmos ,"Feb 07, 2020","917,332,059"
 Cosmos ,"Feb 06, 2020","870,872,257"
 Cosmos ,"Feb 05, 2020","824,888,932"
 Cosmos ,"Feb 04, 2020","804,128,109"
 Cosmos ,"Feb 03, 2020","812,471,299"
 Cosmos ,"Feb 02, 2020","840,319,053"
 Cosmos ,"Feb 01, 2020","834,520,686"
 Cosmos ,"Jan 31, 2020","837,029,351"
 Bitcoin ,"Apr 02, 2020","124,335,130,640"
 Bitcoin ,"Apr 01, 2020","120,903,014,693"
